Type,loc,class,amp_x,amp_y,amp_z,power_x,power_y,power_z,sma,iqr_x,iqr_y,iqr_z,var_x,var_y,var_z,ori_x,ori_y,ori_z
dynamic,外套右邊,run,26.84017043,52.67370726,37.2896579,1935.59421,14220.18532,3805.741816,14.93119978,3.793266892,13.96085697,5.36641717,14.98058901,52.84781842,24.62727647,1230.145821,6253,2552
dynamic,外套右邊,run,29.3827657,49.64731271,35.369696,2018.709295,13999.40755,3155.374648,14.65613257,3.84774828,12.23788238,4.542385936,15.46652025,47.25532769,20.8471125,1119.320694,5952,2702
dynamic,外套右邊,run,30.09428535,46.57214268,37.70602527,1985.037224,13489.55078,3343.179812,14.57653865,3.663873672,13.00062138,4.229118049,15.29805568,48.20499536,22.19626596,1398.696323,6082,2749
dynamic,外套右邊,run,28.87973934,43.07373004,42.56271058,2112.86763,14185.24635,3918.447543,15.2160566,3.677494049,13.69525898,4.746691227,16.08361849,50.21356122,26.25938837,1862.5513,6396,2714
dynamic,外套右邊,run,28.91580096,47.37117603,39.17259239,2084.271549,14153.02935,3764.012329,15.01132577,3.643442988,13.79060203,4.487904608,16.04172043,50.42472483,23.85952767,1997.694004,6117,2656
dynamic,外套右邊,run,27.87822258,46.2194273,39.75621203,1935.373866,13689.68402,3983.671872,15.03643826,3.609392166,13.07553387,4.957806587,15.02520139,48.5835421,25.1667019,1341.326491,6294,2560
dynamic,外套右邊,run,30.65936633,53.21951818,39.54146974,2026.193482,14024.2628,3964.875949,15.09890032,3.486809015,12.85079789,5.032718658,15.61419328,48.73974439,24.76069934,1330.552364,6051,2585
dynamic,外套右邊,run,25.70217734,41.11465746,34.59008835,2187.442681,13603.17911,3860.974666,15.19871187,4.304029942,12.95295084,4.65815869,16.76813446,50.42320959,24.33024413,1801.394432,6374,2727
dynamic,外套右邊,run,30.23056331,43.23374238,39.85923787,2075.783731,13388.24751,4433.293863,15.17040717,4.174636364,13.56586635,5.094010234,16.13726383,50.54985123,28.48319206,1234.875257,6376,2607
dynamic,外套右邊,run,28.55305755,50.38433036,37.59247825,1971.928981,13745.77837,3857.236896,15.12667303,3.25526309,12.27193356,5.38003701,15.34731725,48.35422499,24.43795592,1729.444695,5921,2397
dynamic,外套右邊,run,30.00964124,43.98215624,37.40172566,2148.765427,13025.15222,3938.435414,14.90225653,3.643442988,13.1981172,4.671779275,16.7642781,48.86511669,25.14633319,1433.353354,5973,2521
dynamic,外套右邊,run,36.40648214,53.47721723,43.57179563,2186.394334,13198.62682,3792.538342,14.94279834,3.800076962,11.6794486,5.597962767,17.21312858,48.8555982,22.46045034,1590.866941,5770,2870
dynamic,外套右邊,run,31.75051184,50.27388024,43.40592257,1972.992321,14139.87078,3963.134468,15.07942743,3.50723958,13.17768669,5.863559663,15.53517376,54.80184508,23.21646819,2746.124288,6107,2457
dynamic,外套右邊,run,27.19603099,50.77509935,42.5281104,1686.251883,14587.83197,4468.367301,15.09081322,2.907944322,14.04257905,4.93737632,13.27743829,53.84002305,26.13827914,945.0963688,5836,2423
dynamic,外套右邊,run,27.23373944,49.58996813,43.71720289,1319.196741,14566.35959,4478.375393,14.92673061,2.335889637,13.06191301,5.209783077,10.37323905,50.09161623,27.42912813,953.318365,5245,2027
dynamic,外套右邊,run,31.2432563,45.65879577,41.65254861,1907.548437,13460.83786,3976.054035,14.88129395,3.452758193,11.42747176,5.019098282,15.0089041,46.20810404,23.5126631,1178.15734,5575,2530
dynamic,外套右邊,run,28.47613082,43.9964004,41.40750134,1711.098314,12928.2066,3997.379984,14.52610082,2.70363903,12.75545502,4.147395968,13.47226851,49.45673885,24.41860558,437.76828,6455,2478
dynamic,外套右邊,run,31.76439863,51.11651551,35.53837783,2031.683724,12510.57447,3449.019354,14.44320826,4.269979119,12.42856738,4.712640047,15.56672014,48.03708096,20.7465307,559.6194458,6470,2554
dynamic,外套右邊,run,29.51679213,46.30358823,37.25971635,1679.472122,12741.60421,3695.029677,14.38319357,3.200781584,10.87584734,4.923755884,13.07620793,43.07796649,22.23794219,1043.29245,6055,2286
